state,state_name,elec_rate_kwh,elec_rate_cents,capacity_factor,ghi_kwh_m2_day,irr,npv_25yr,simple_payback_yrs,lcoe,year1_savings,lifetime_savings,incentive_tier,state_incentive,net_metering,rate_score,solar_score,irr_score,payback_score,incentive_score,composite_score,rank
OR,Oregon,0.10279999999999999,10.28,0.158,4.24,0.083613,64505.22511642505,10.43481187566717,0.06011661396239031,14228.34,455011.32,Strong,True,Net metering,0.08724832214765098,0.3943661971830985,0.11442511140793626,0.3746940156942038,1.0,29.1,26
NE,,0.0962,9.62,0.177,4.9,0.089048,74089.87511642504,9.950780955330805,0.05366341811332016,14916.0,477002.13,,,,0.06615532118887821,0.6619718309859153,0.1304861759595267,0.41314902941338794,0.3,28.9,27
NC,North Carolina,0.0931,9.31,0.174,4.81,0.083311,63980.21511642501,10.4627858172996,0.054588619052764915,14190.67,453806.69000000006,Moderate,False,Retail NEM,0.056248002556727406,0.6197183098591547,0.11353266587075495,0.3724715578633958,0.5,28.7,28
IL,Illinois,0.1033,10.33,0.156,4.19,0.082717,62947.28511642502,10.518310453405425,0.06088733978242095,14116.56,451436.74,Strong,True,Net metering,0.08884627676573985,0.36619718309859145,0.11177732597312023,0.3680602681017452,1.0,28.3,29
PA,Pennsylvania,0.12960000000000002,12.96,0.153,4.05,0.107501,108294.21511642501,8.531586620667674,0.062081150199008096,17370.03,555479.96,Moderate,False,Net metering,0.1728986896772132,0.32394366197183083,0.18501696237544177,0.525900375074804,0.5,28.2,30
DC,,0.1322,13.22,0.155,4.15,0.111683,116379.48511642503,8.254355612434635,0.061280103851016815,17950.12,574030.7,,,,0.18120805369127518,0.3521126760563379,0.1973752644830317,0.5479256668011595,0.3,27.7,31
MN,Minnesota,0.1137,11.37,0.16,4.28,0.096884,88309.325116425,9.30635594277719,0.05936515628786043,15936.19,509627.00000000006,Moderate,True,Net metering,0.12208373282198783,0.42253521126760557,0.15364247804347567,0.46434694189698167,0.5,27.7,32
WY,,0.08560000000000001,8.56,0.181,5.19,0.078298,55362.555116425036,10.946899547629545,0.05247744407002205,13572.39,434034.56999999995,,,,0.03227868328539471,0.7183098591549294,0.09871866097708011,0.3340099651028626,0.3,27.7,33
LA,,0.0917,9.17,0.177,4.91,0.083532,64364.825116425025,10.44227687541943,0.05366341811332016,14218.27,454689.15,,,,0.05177372962607862,0.6619718309859153,0.11418574687644059,0.3741009406326202,0.3,27.7,34
DE,,0.1281,12.81,0.156,4.18,0.108484,110184.26511642506,8.46497927459757,0.06088733978242095,17505.63,559816.53,,,,0.16810482582294664,0.36619718309859145,0.18792184304779014,0.5311921576847752,0.3,27.2,35
SD,,0.09820000000000001,9.82,0.17,4.68,0.086756,70019.15511642498,10.150721261277727,0.05587305641582325,14623.94,467662.29000000004,,,,0.07254713966123363,0.5633802816901409,0.1237130462535018,0.3972642855154904,0.3,26.3,36
TN,,0.10189999999999999,10.19,0.167,4.52,0.088979,73966.57511642503,9.956799130171248,0.056876746928655665,14907.15,476719.17000000004,,,,0.08437200383509107,0.5211267605633803,0.1302822728401045,0.41267090087587033,0.3,25.9,37
AR,,0.0928,9.28,0.172,4.8,0.081636,61076.74511642501,10.62053695117818,0.05522333896085454,13982.36,447145.01000000007,,,,0.05528922978587406,0.5915492957746475,0.10858284376883887,0.35993863535236714,0.3,25.8,38
MO,,0.0983,9.83,0.168,4.57,0.085511,67826.265116425,10.261627126117542,0.05653821146560313,14466.61,462631.04,,,,0.0728667305848514,0.5352112676056339,0.12003392475088358,0.3884530993396378,0.3,25.5,39
MT,,0.1,10.0,0.166,4.49,0.086106,68871.425116425,10.208433904932754,0.05721937763417141,14541.6,465029.02,,,,0.07829977628635347,0.5070422535211268,0.12179221976619108,0.39267916417245285,0.3,25.0,40
AK,,0.1689,16.89,0.13,2.98,0.120739,134278.94511642505,7.699279636678634,0.07306480773890514,19234.33,615098.9500000001,,,,0.29849792265899644,0.0,0.22413681012777925,0.5920250277429211,0.3,23.5,41
ND,,0.09359999999999999,9.36,0.165,4.48,0.077941,54756.98511642503,10.98279248406408,0.05756619525043644,13528.94,432645.11,,,,0.05784595717481622,0.49295774647887325,0.09766368396789558,0.331158363469536,0.3,22.8,42
ID,,0.08410000000000001,8.41,0.171,4.74,0.070134,41779.285116425046,11.803554592322214,0.05554637654831982,12597.84,402869.21,,,,0.027484819431128165,0.5774647887323944,0.0745930802964574,0.2659509215331417,0.3,22.8,43
IA,,0.0966,9.66,0.163,4.4,0.080103,58441.88511642502,10.768321718368796,0.05827247674972774,13793.32,441099.66000000003,,,,0.06743368488334932,0.4647887323943662,0.10405264837645832,0.34819751508291763,0.3,22.7,44
WI,,0.11599999999999999,11.6,0.152,4.04,0.093148,81471.88511642505,9.604459217456236,0.06248959835129484,15445.63,493939.27,,,,0.12943432406519653,0.30985915492957733,0.14260215841794818,0.44066340219759614,0.3,22.6,45
MI,,0.1185,11.85,0.149,3.9,0.093313,81770.98511642503,9.590979024796075,0.06374777736544096,15467.09,494625.62,,,,0.13742409715564077,0.2676056338028167,0.1430897528339578,0.4417343688898139,0.3,21.8,46
OH,Ohio,0.10289999999999999,10.29,0.152,3.99,0.079353,57159.85511642505,10.84188418296482,0.06248959835129484,13701.34,438158.19000000006,Moderate,False,Net metering,0.08756791307126875,0.30985915492957733,0.10183631012186906,0.34235316616551525,0.5,21.3,47
IN,,0.0974,9.74,0.153,4.09,0.074001,48141.75511642502,11.384805165471317,0.062081150199008096,13054.33,417467.22,,,,0.06999041227229147,0.32394366197183083,0.08602052033711981,0.2992194882256607,0.3,18.3,48
KY,,0.091,9.1,0.156,4.17,0.068742,39519.23511642503,11.960714743443372,0.06088733978242095,12435.7,397683.87999999995,,,,0.049536593160754226,0.36619718309859145,0.07047955649593965,0.25346495108465616,0.3,17.9,49
WV,,0.0929,9.29,0.149,3.89,0.066049,35198.22511642499,12.269204724778177,0.06374777736544096,12125.68,387769.77,,,,0.05560882070949182,0.2676056338028167,0.06252142460312768,0.22895621421260492,0.3,15.2,50
WA,Washington,0.0755,7.55,0.149,3.85,0.044892,3543.295116425026,15.15106267680828,0.06374777736544096,9854.56,315141.22,Moderate,False,Net metering,0.0,0.2676056338028167,0.0,0.0,0.5,11.7,51
